"","id","viewCount","likeCount","favoriteCount","commentCount"
"1","L9d6rKtuPig",642179,21838,0,2959
"2","qLWxjtIpJz0",714349,23610,0,1958
"3","-aTXUrmmLdo",1047926,29531,0,2998
"4","Y8Q9liq1tcI",345427,11887,0,1204
"5","c-Nla9Nmax8",222568,9013,0,1105
"6","V8wfHbymZow",267524,9869,0,973
"7","FjS2LzrHEO8",936616,30959,0,2530
"8","JhX20_ebSkM",545208,19313,0,1257
"9","FU6r3BmlgBM",221137,5975,0,561
"10","OyrTLYyIvNI",3733305,49176,0,5359
"11","Pj2jMhwKuv4",3905037,53663,0,6620
"12","teRRk-0KHus",4589265,91465,0,10228
"13","DsonSEllPmU",2015372,65597,0,4577
